# group_id size arrival_time dining_duration
1 3 09:03 37
2 5 09:07 41
3 2 09:17 33
4 2 09:28 30
5 4 09:28 25
6 2 09:31 27
7 4 09:31 31
8 3 09:32 35
9 2 09:41 21
10 3 09:43 24
11 6 09:44 36
12 2 09:50 24
13 2 09:50 27
14 2 09:52 30
15 1 09:54 26
16 2 09:55 19
17 2 09:59 35
18 2 10:00 24
19 1 10:02 31
20 2 10:06 22
21 2 10:12 16
22 4 10:13 28
23 1 10:17 22
24 3 10:19 38
25 2 10:20 17
26 2 10:20 34
27 2 10:21 35
28 1 10:22 34
29 1 10:24 28
30 3 10:33 29
31 1 10:34 27
32 2 10:38 25
33 2 10:38 22
34 4 10:40 39
35 3 10:41 23
36 2 10:41 25
37 2 10:42 25
38 2 10:42 30
39 2 10:46 35
40 1 10:48 24
41 2 10:49 20
42 2 10:49 19
43 2 10:49 20
44 3 10:49 27
45 1 10:50 18
46 2 10:52 32
47 4 10:56 43
48 1 10:56 30
49 2 11:00 19
50 1 11:01 26
51 3 11:02 27
52 2 11:03 22
53 1 11:04 27
54 2 11:04 33
55 2 11:05 19
56 3 11:06 26
57 1 11:10 30
58 2 11:10 24
59 3 11:12 23
60 3 11:12 30
61 3 11:12 39
62 2 11:13 26
63 4 11:14 42
64 2 11:14 25
65 1 11:15 15
66 1 11:18 30
67 1 11:19 16
68 1 11:19 24
69 2 11:19 32
70 3 11:20 29
71 2 11:20 29
72 4 11:20 28
73 2 11:21 22
74 2 11:23 22
75 2 11:23 25
76 1 11:24 35
77 2 11:25 20
78 1 11:26 27
79 1 11:29 27
80 1 11:34 26
81 2 11:36 25
82 3 11:37 31
83 2 11:38 22
84 1 11:39 32
85 2 11:40 34
86 2 11:41 29
87 2 11:42 34
88 2 11:42 31
89 1 11:43 27
90 2 11:45 16
91 4 11:46 38
92 2 11:47 17
93 2 11:47 20
94 1 11:48 20
95 2 11:48 24
96 4 11:49 31
97 4 11:49 25
98 2 11:50 33
99 2 11:52 29
100 2 11:52 30
101 6 11:53 40
102 6 11:53 41
103 3 11:53 39
104 2 11:53 28
105 1 11:53 20
106 1 11:53 19
107 4 11:54 28
108 2 11:55 22
109 2 11:55 27
110 5 11:55 50
111 2 11:55 33
112 2 11:56 22
113 2 11:56 19
114 3 11:56 25
115 1 11:56 18
116 2 11:57 29
117 4 11:58 35
118 2 11:58 15
119 2 11:58 20
120 1 11:59 25
121 4 12:00 45
122 3 12:00 24
123 2 12:00 33
124 1 12:01 15
125 2 12:01 30
126 1 12:03 19
127 2 12:04 29
128 1 12:04 16
129 5 12:05 40
130 1 12:06 15
131 2 12:06 25
132 2 12:06 20
133 4 12:09 36
134 4 12:11 28
135 2 12:11 15
136 4 12:12 28
137 4 12:12 29
138 2 12:12 32
139 2 12:12 29
140 2 12:13 18
141 3 12:13 36
142 2 12:13 17
143 2 12:14 25
144 2 12:16 17
145 3 12:17 32
146 2 12:18 31
147 2 12:20 26
148 2 12:21 35
149 2 12:21 17
150 2 12:21 32
151 3 12:22 37
152 2 12:23 28
153 4 12:25 41
154 1 12:26 27
155 2 12:26 15
156 4 12:27 27
157 4 12:27 32
158 2 12:28 32
159 2 12:28 15
160 4 12:28 39
161 5 12:31 31
162 2 12:32 15
163 3 12:33 27
164 2 12:34 21
165 3 12:34 24
166 3 12:40 34
167 1 12:40 31
168 4 12:42 39
169 2 12:43 29
170 6 12:44 31
171 2 12:45 24
172 2 12:46 28
173 2 12:47 16
174 2 12:47 23
175 4 12:48 41
176 2 12:50 31
177 2 12:52 27
178 4 12:57 30
179 2 12:58 22
180 3 13:01 24
181 2 13:01 15
182 4 13:08 35
183 1 13:09 21
184 2 13:09 24
185 1 13:14 34
186 2 13:16 24
187 3 13:16 40
188 4 13:20 26
189 2 13:21 19
190 4 13:25 36
191 2 13:28 33
192 4 13:29 38
193 2 13:31 24
194 3 13:31 32
195 2 13:34 25
196 4 13:34 45
197 3 13:39 37
198 1 13:43 23
199 1 13:48 27
200 3 13:57 33
201 1 13:57 28
202 2 14:05 30
203 1 14:10 23
204 2 14:23 24
205 4 14:23 30
206 1 14:28 17
207 2 14:29 18
208 5 14:34 31
209 2 14:38 21
210 2 14:48 20
211 1 14:58 34
212 2 15:01 19
213 4 15:04 34
214 4 15:12 44
215 2 15:14 33
216 2 15:16 30
217 2 15:22 21
218 2 15:26 20
219 2 15:27 16
220 3 15:33 38
221 3 15:36 34
222 2 15:37 20
223 3 15:39 25
224 2 15:42 16
225 2 15:43 33
226 2 15:49 31
227 2 15:50 19
228 2 15:50 15
229 3 15:53 29
230 2 16:02 34
231 1 16:03 19
232 1 16:05 28
233 4 16:05 38
234 2 16:06 31
235 3 16:07 38
236 2 16:09 30
237 2 16:10 30
238 2 16:12 24
239 1 16:14 21
240 4 16:18 31
241 1 16:19 22
242 5 16:22 45
243 1 16:27 20
244 5 16:27 50
245 1 16:31 34
246 1 16:32 23
247 2 16:32 29
248 4 16:34 37
249 2 16:34 30
250 2 16:34 31
251 3 16:37 27
252 3 16:37 30
253 2 16:38 23
254 3 16:39 31
255 2 16:42 18
256 2 16:42 31
257 2 16:43 35
258 2 16:45 17
259 3 16:46 26
260 6 16:48 30
261 2 16:48 19
262 2 16:49 30
263 2 16:53 23
264 3 16:53 21
265 2 16:54 21
266 2 16:54 31
267 5 16:57 44
268 2 16:57 21
269 2 16:58 22
270 2 16:58 24
271 2 16:58 29
272 2 17:00 19
273 4 17:00 27
274 2 17:02 31
275 2 17:03 26
276 1 17:04 32
277 3 17:06 27
278 1 17:08 15
279 2 17:08 20
280 3 17:08 26
281 1 17:09 18
282 2 17:09 24
283 2 17:09 19
284 6 17:13 41
285 4 17:16 26
286 2 17:17 18
287 2 17:18 35
288 2 17:18 17
289 2 17:19 31
290 2 17:20 24
291 2 17:21 23
292 1 17:21 19
293 1 17:21 20
294 2 17:23 33
295 2 17:24 15
296 4 17:25 43
297 1 17:25 22
298 2 17:26 34
299 1 17:27 19
300 2 17:28 18
301 2 17:28 21
302 6 17:28 37
303 2 17:29 18
304 2 17:30 27
305 1 17:30 18
306 1 17:31 20
307 2 17:31 26
308 1 17:31 35
309 2 17:32 21
310 2 17:32 17
311 6 17:33 42
312 2 17:33 32
313 2 17:36 19
314 2 17:36 22
315 6 17:37 33
316 2 17:39 21
317 3 17:40 32
318 1 17:44 19
319 2 17:44 28
320 5 17:45 49
321 3 17:45 23
322 2 17:45 27
323 2 17:47 25
324 1 17:47 27
325 2 17:47 23
326 1 17:48 17
327 4 17:48 28
328 5 17:49 32
329 2 17:49 17
330 2 17:50 31
331 1 17:51 28
332 2 17:51 16
333 2 17:53 24
334 2 17:55 35
335 2 17:57 24
336 2 17:58 25
337 4 17:58 34
338 1 18:01 27
339 2 18:03 29
340 2 18:04 29
341 2 18:05 28
342 1 18:05 26
343 3 18:05 32
344 1 18:06 35
345 3 18:07 36
346 2 18:09 21
347 2 18:12 22
348 4 18:13 36
349 4 18:13 43
350 1 18:13 31
351 1 18:15 25
352 2 18:16 35
353 2 18:18 28
354 5 18:18 39
355 2 18:21 17
356 2 18:22 17
357 2 18:25 18
358 1 18:25 31
359 2 18:26 16
360 2 18:29 17
361 6 18:30 37
362 2 18:30 24
363 2 18:30 26
364 4 18:31 25
365 3 18:33 28
366 4 18:33 36
367 2 18:33 26
368 2 18:34 25
369 2 18:35 30
370 3 18:35 31
371 1 18:36 32
372 3 18:40 21
373 4 18:41 27
374 3 18:41 38
375 2 18:42 29
376 2 18:43 31
377 2 18:44 22
378 2 18:47 31
379 3 18:47 38
380 2 18:48 22
381 2 18:49 29
382 2 18:52 26
383 2 18:53 17
384 5 18:54 34
385 2 18:56 19
386 2 18:57 24
387 3 18:58 35
388 3 18:58 26
389 5 18:59 45
390 2 18:59 20
391 4 19:01 30
392 4 19:01 44
393 3 19:04 31
394 4 19:04 39
395 2 19:04 17
396 2 19:05 15
397 4 19:06 36
398 2 19:06 32
399 4 19:11 28
400 1 19:15 20
401 2 19:15 32
402 1 19:17 23
403 2 19:17 21
404 3 19:18 28
405 6 19:20 46
406 2 19:20 16
407 3 19:24 27
408 4 19:26 40
409 2 19:28 18
410 5 19:30 45
411 2 19:32 30
412 2 19:32 31
413 2 19:34 26
414 1 19:42 28
415 3 19:46 22
416 1 19:47 30
417 4 19:47 40
418 2 19:56 24
419 2 20:11 29
420 1 20:14 33
421 3 20:15 36
422 4 20:20 45
423 3 20:23 33
424 4 20:27 39
425 2 20:29 24
426 2 20:36 31
427 2 20:40 34
428 4 20:47 38
429 2 20:56 28
430 1 21:00 18
431 2 21:04 32
432 3 21:07 30
433 2 21:17 23
434 2 21:26 26
435 2 21:43 19
436 2 21:59 29
437 1 21:59 30
