# group_id size arrival_time dining_duration
1 1 11:02 67
2 1 11:02 44
3 2 11:04 50
4 2 11:07 56
5 4 11:12 70
6 2 11:27 52
7 3 11:28 74
8 1 11:32 60
9 1 11:41 49
10 1 11:43 37
11 1 11:46 66
12 4 11:49 80
13 3 11:56 42
14 2 11:57 61
15 2 11:58 49
16 2 12:04 49
17 3 12:07 49
18 2 12:10 52
19 2 12:11 65
20 2 12:15 60
21 3 12:29 72
22 4 12:29 58
23 3 12:30 62
24 2 12:31 46
25 2 12:32 63
26 4 12:32 75
27 2 12:37 40
28 4 12:42 77
29 2 12:43 52
30 2 12:46 64
31 2 12:47 59
32 4 12:48 54
33 3 12:48 69
34 1 12:50 67
35 4 12:50 76
36 3 12:53 75
37 2 12:53 49
38 1 12:55 64
39 3 12:56 42
40 3 12:57 52
41 2 12:59 35
42 1 12:59 59
43 2 12:59 51
44 2 13:00 68
45 2 13:01 35
46 3 13:01 66
47 3 13:03 74
48 2 13:06 52
49 2 13:07 62
50 2 13:08 45
51 2 13:08 66
52 4 13:08 51
53 2 13:12 39
54 4 13:13 77
55 2 13:14 64
56 3 13:14 60
57 2 13:17 37
58 1 13:18 66
59 2 13:19 64
60 2 13:19 52
61 1 13:20 69
62 2 13:20 37
63 1 13:21 36
64 4 13:22 58
65 1 13:22 57
66 2 13:23 70
67 2 13:23 44
68 2 13:23 56
69 3 13:26 53
70 4 13:27 77
71 2 13:28 51
72 2 13:30 45
73 2 13:31 51
74 2 13:31 58
75 2 13:33 50
76 2 13:33 69
77 2 13:37 43
78 2 13:43 69
79 4 13:48 61
80 4 13:58 52
81 1 13:59 40
82 1 14:00 66
83 3 14:03 40
84 2 14:14 59
85 2 14:22 58
86 2 14:35 39
87 1 14:48 56
88 2 15:03 39
89 2 15:04 67
90 2 15:06 44
91 1 15:10 35
92 4 15:12 66
93 2 15:16 41
94 2 15:20 37
95 2 15:20 45
96 2 15:27 42
97 1 15:30 57
98 3 15:45 49
99 2 15:47 51
100 2 15:56 47
101 3 15:56 71
102 1 15:57 40
103 1 16:00 60
104 2 16:00 38
105 2 16:02 69
106 2 16:03 40
107 2 16:03 40
108 2 16:07 59
109 4 16:07 80
110 1 16:10 37
111 2 16:12 39
112 2 16:13 43
113 4 16:14 63
114 2 16:18 36
115 2 16:22 54
116 2 16:22 41
117 3 16:26 67
118 1 16:28 61
119 2 16:29 62
120 2 16:29 47
121 2 16:30 50
122 3 16:37 52
123 2 16:39 58
124 3 16:39 69
125 2 16:42 61
126 1 16:47 61
127 4 16:47 72
128 2 16:49 42
129 2 16:51 66
130 1 16:52 35
131 2 16:53 66
132 2 16:57 64
133 2 17:03 68
134 3 17:05 40
135 2 17:07 57
136 1 17:08 39
137 4 17:10 47
138 2 17:11 46
139 2 17:11 62
140 1 17:11 69
141 4 17:12 75
142 1 17:16 49
143 2 17:16 67
144 2 17:17 68
145 2 17:18 60
146 2 17:21 41
147 3 17:21 75
148 2 17:22 51
149 3 17:23 50
150 4 17:24 51
151 3 17:24 62
152 1 17:24 37
153 4 17:25 47
154 4 17:26 58
155 2 17:27 43
156 1 17:27 60
157 1 17:27 53
158 2 17:28 57
159 1 17:29 54
160 3 17:29 75
161 2 17:35 53
162 4 17:38 53
163 3 17:38 74
164 2 17:39 44
165 1 17:40 59
166 2 17:43 42
167 2 17:44 69
168 3 17:44 53
169 4 17:44 55
170 4 17:45 79
171 2 17:48 60
172 2 17:49 39
173 1 17:49 47
174 2 17:50 58
175 4 17:51 45
176 2 17:52 50
177 4 17:52 75
178 2 17:54 61
179 2 17:54 46
180 1 17:56 39
181 2 18:00 62
182 1 18:01 54
183 3 18:01 43
184 1 18:01 49
185 4 18:08 76
186 2 18:08 55
187 2 18:10 39
188 4 18:11 49
189 2 18:17 68
190 2 18:31 58
191 3 18:40 51
192 1 18:46 42
193 2 18:51 41
194 3 18:57 47
195 2 19:00 36
196 1 19:04 45
197 2 19:11 65
198 4 19:12 48
199 2 19:14 40
200 1 19:41 59
201 2 19:50 63
