# group_id size arrival_time dining_duration
1 1 11:24 41
2 2 11:31 58
3 3 11:46 50
4 2 11:51 55
5 2 11:52 37
6 3 11:56 53
7 2 11:59 50
8 2 12:06 38
9 1 12:07 62
10 1 12:14 69
11 2 12:23 41
12 3 12:24 52
13 4 12:26 78
14 2 12:27 42
15 2 12:28 38
16 2 12:28 40
17 1 12:32 65
18 2 12:33 62
19 3 12:34 59
20 2 12:34 58
21 2 12:46 66
22 2 12:46 43
23 2 12:47 50
24 2 12:48 41
25 3 12:52 46
26 1 12:54 47
27 4 13:00 80
28 1 13:02 40
29 2 13:03 48
30 4 13:03 48
31 3 13:07 75
32 3 13:07 71
33 2 13:10 55
34 6 13:14 55
35 1 13:15 50
36 2 13:17 37
37 2 13:18 68
38 2 13:21 43
39 2 13:22 39
40 1 13:24 69
41 1 13:27 69
42 3 13:27 73
43 1 13:27 70
44 1 13:29 41
45 3 13:29 49
46 2 13:31 51
47 3 13:34 57
48 2 13:38 62
49 1 13:41 58
50 2 13:41 44
51 2 13:45 50
52 3 13:45 62
53 3 13:46 49
54 5 13:46 65
55 1 13:47 56
56 4 13:47 71
57 4 13:47 60
58 4 13:49 75
59 2 13:51 49
60 2 13:53 39
61 3 13:54 65
62 2 13:55 36
63 6 13:57 66
64 6 14:01 57
65 5 14:05 84
66 2 14:07 62
67 2 14:12 54
68 2 14:24 55
69 1 14:29 40
70 2 14:34 47
71 4 14:37 74
72 1 14:51 50
73 1 14:52 64
74 5 14:54 78
75 3 15:35 74
76 5 15:47 51
77 4 15:58 75
78 3 16:01 42
79 1 16:03 44
80 2 16:07 58
81 1 16:13 54
82 2 16:17 50
83 2 16:23 62
84 2 16:39 52
85 2 16:42 64
86 2 16:53 47
87 2 17:24 41
88 2 17:25 54
89 3 17:29 48
90 1 17:31 53
91 4 17:36 70
92 2 17:41 70
93 4 17:41 59
94 5 17:42 69
95 3 17:43 46
96 5 17:43 63
97 1 17:51 53
98 2 17:52 49
99 3 17:53 52
100 2 17:53 69
101 4 17:59 63
102 3 18:08 41
103 5 18:10 67
104 2 18:10 46
105 2 18:12 62
106 2 18:18 66
107 2 18:20 55
108 2 18:20 42
109 2 18:21 35
110 2 18:22 47
111 1 18:31 50
112 1 18:32 61
113 1 18:34 44
114 2 18:34 53
115 2 18:37 59
116 2 18:37 67
117 1 18:38 61
118 1 18:40 54
119 3 18:41 49
120 5 18:45 62
121 2 18:46 61
122 4 18:48 69
123 1 18:49 37
124 1 18:49 56
125 2 18:50 64
126 1 18:50 44
127 3 18:55 45
128 2 18:56 55
129 3 18:56 71
130 1 18:57 53
131 1 18:58 41
132 2 18:58 54
133 4 18:59 63
134 2 19:16 69
135 2 19:24 65
136 1 19:31 38
137 4 19:32 63
138 4 19:33 59
139 5 19:39 52
140 5 19:50 60
141 4 19:52 66
142 1 20:01 60
143 2 20:09 36
144 3 20:11 44
145 2 20:19 69
146 3 20:24 49
147 3 20:29 53
148 1 20:31 58
149 2 20:33 47
150 1 20:34 48
151 3 20:34 41
152 2 20:37 70
153 4 21:06 78
154 2 21:10 41
155 2 21:21 62
