# group_id size arrival_time dining_duration
1 2 11:06 36
2 1 11:16 62
3 1 11:19 41
4 2 11:26 58
5 3 11:41 50
6 2 11:46 55
7 2 11:47 37
8 1 11:48 55
9 1 11:51 43
10 2 11:56 43
11 1 12:02 59
12 1 12:07 69
13 2 12:08 53
14 2 12:11 46
15 2 12:11 41
16 3 12:12 52
17 4 12:14 78
18 2 12:15 42
19 2 12:16 38
20 2 12:16 40
21 1 12:20 65
22 2 12:21 62
23 3 12:22 65
24 6 12:22 73
25 2 12:22 68
26 1 12:30 37
27 2 12:31 66
28 2 12:34 65
29 1 12:35 62
30 3 12:38 46
31 2 12:40 69
32 2 12:40 62
33 4 12:43 80
34 1 12:45 40
35 2 12:46 48
36 4 12:46 48
37 3 12:50 75
38 3 12:50 71
39 3 12:53 43
40 1 12:53 65
41 6 12:55 55
42 1 12:56 50
43 1 12:58 40
44 2 12:58 68
45 2 13:01 43
46 2 13:02 39
47 1 13:04 69
48 1 13:07 69
49 3 13:07 73
50 1 13:07 70
51 1 13:09 41
52 3 13:09 49
53 2 13:11 51
54 5 13:12 53
55 3 13:17 75
56 3 13:17 75
57 4 13:20 80
58 1 13:20 43
59 2 13:23 50
60 3 13:23 62
61 3 13:24 49
62 5 13:24 65
63 3 13:25 61
64 4 13:25 71
65 4 13:25 60
66 2 13:25 41
67 5 13:28 72
68 1 13:30 47
69 2 13:34 69
70 2 13:37 51
71 4 13:39 72
72 2 13:40 47
73 5 13:42 84
74 2 13:43 56
75 3 13:43 47
76 3 13:43 59
77 2 13:44 53
78 3 13:45 64
79 2 13:46 70
80 4 13:46 64
81 2 13:49 63
82 4 13:50 55
83 3 13:51 61
84 2 13:53 47
85 2 13:56 47
86 3 13:56 64
87 3 13:59 46
88 4 14:00 78
89 1 14:02 43
90 6 14:03 70
91 3 14:04 72
92 2 14:04 70
93 3 14:07 57
94 3 14:08 57
95 2 14:10 69
96 4 14:20 46
97 2 14:21 35
98 2 14:22 61
99 4 14:24 76
100 1 14:49 36
101 1 14:52 37
102 1 14:54 44
103 2 14:58 58
104 1 15:04 54
105 5 15:06 62
106 2 15:15 62
107 2 15:31 52
108 2 15:34 64
109 2 16:04 64
110 2 16:16 41
111 3 16:26 46
112 2 16:27 63
113 4 16:29 52
114 4 16:38 59
115 2 16:41 62
116 2 16:46 40
117 3 16:59 52
118 1 17:03 54
119 2 17:03 53
120 3 17:12 41
121 5 17:14 67
122 2 17:14 46
123 2 17:17 66
124 2 17:18 55
125 3 17:20 58
126 1 17:23 51
127 2 17:25 35
128 2 17:26 47
129 1 17:35 50
130 1 17:36 61
131 1 17:38 44
132 2 17:38 53
133 2 17:41 59
134 2 17:41 67
135 1 17:42 61
136 1 17:44 54
137 3 17:45 49
138 5 17:49 62
139 2 17:50 61
140 4 17:52 69
141 1 17:53 37
142 1 17:53 56
143 2 17:54 64
144 1 17:54 44
145 2 17:56 51
146 4 17:58 79
147 1 18:01 39
148 2 18:01 53
149 1 18:02 41
150 2 18:02 54
151 4 18:03 63
152 1 18:08 59
153 5 18:09 59
154 3 18:11 69
155 2 18:12 57
156 6 18:12 69
157 2 18:13 54
158 6 18:18 68
159 1 18:20 38
160 2 18:21 57
161 2 18:21 47
162 3 18:21 48
163 3 18:21 42
164 1 18:24 53
165 2 18:28 52
166 4 18:28 61
167 4 18:29 52
168 2 18:29 39
169 1 18:29 49
170 2 18:30 60
171 1 18:30 69
172 1 18:30 58
173 3 18:30 56
174 5 18:31 56
175 3 18:32 75
176 3 18:34 69
177 2 18:35 43
178 2 18:38 69
179 5 18:41 76
180 4 18:42 51
181 2 18:43 58
182 2 18:43 63
183 3 18:44 74
184 5 18:44 72
185 2 18:47 36
186 1 18:47 56
187 2 18:47 43
188 4 18:48 80
189 1 18:51 35
190 4 18:53 52
191 3 18:53 41
192 1 18:56 51
193 3 18:58 70
194 2 19:01 37
195 2 19:02 36
196 1 19:02 65
197 1 19:03 63
198 2 19:06 70
199 2 19:07 53
200 3 19:09 75
201 2 19:10 49
202 3 19:12 60
203 1 19:14 65
204 1 19:16 58
205 2 19:17 70
206 4 19:19 72
207 3 19:20 62
208 1 19:20 67
209 1 19:22 70
210 4 19:24 80
211 3 19:25 41
212 3 19:25 57
213 2 19:28 44
214 2 19:28 60
215 2 19:30 59
216 2 19:30 56
217 4 19:34 54
218 2 19:43 53
219 2 19:49 48
220 2 19:50 42
221 2 19:52 49
222 1 19:54 37
223 5 20:04 79
224 1 20:05 41
225 3 20:17 49
226 3 20:30 60
227 1 20:31 39
228 2 20:43 59
229 4 20:47 57
230 3 20:53 72
231 3 20:57 63
232 2 21:17 40
233 2 21:33 43
234 3 21:54 68
235 5 21:57 62
236 2 22:00 59
