# group_id size arrival_time dining_duration
1 1 11:24 18
2 2 11:31 35
3 3 11:33 21
4 4 11:36 37
5 3 11:43 25
6 2 11:48 25
7 2 11:49 16
8 3 11:53 26
9 2 11:56 22
10 2 12:03 16
11 1 12:04 28
12 1 12:11 32
13 2 12:13 20
14 2 12:15 20
15 2 12:15 18
16 3 12:16 39
17 2 12:20 18
18 5 12:20 39
19 2 12:20 22
20 2 12:21 17
21 6 12:21 47
22 2 12:22 32
23 3 12:26 29
24 2 12:26 35
25 2 12:28 17
26 2 12:36 30
27 2 12:36 19
28 2 12:37 22
29 2 12:38 18
30 3 12:42 40
31 2 12:46 29
32 4 12:50 42
33 1 12:52 17
34 2 12:53 21
35 4 12:53 26
36 3 12:57 37
37 3 12:57 35
38 2 13:00 25
39 4 13:02 30
40 1 13:05 22
41 2 13:07 16
42 2 13:08 31
43 2 13:11 19
44 2 13:12 17
45 1 13:14 32
46 1 13:17 32
47 3 13:17 39
48 6 13:17 50
49 5 13:19 33
50 1 13:20 18
51 2 13:21 21
52 3 13:22 28
53 3 13:25 28
54 2 13:29 28
55 5 13:30 34
56 2 13:31 19
57 2 13:35 22
58 3 13:35 31
59 3 13:36 24
60 5 13:36 37
61 3 13:37 30
62 4 13:37 38
63 4 13:37 32
64 2 13:37 18
65 4 13:42 32
66 2 13:44 17
67 3 13:45 32
68 1 13:46 23
69 1 13:46 23
70 4 13:48 38
71 2 13:49 33
72 5 13:54 36
73 2 13:57 18
74 2 13:58 28
75 2 14:00 27
76 3 14:01 29
77 2 14:03 33
78 4 14:07 30
79 2 14:13 21
80 4 14:16 39
81 2 14:26 20
82 2 14:27 32
83 4 14:29 41
84 5 14:30 44
85 4 14:34 40
86 4 14:37 40
87 3 14:55 38
88 3 15:01 37
89 2 15:03 30
90 3 15:31 40
91 2 15:40 26
92 1 15:46 24
93 2 15:50 35
94 2 16:15 33
95 2 16:31 15
96 2 16:49 29
97 2 17:01 18
98 2 17:02 24
99 3 17:06 24
100 4 17:14 28
101 1 17:15 35
102 2 17:18 32
103 4 17:18 44
104 5 17:21 39
105 3 17:22 39
106 6 17:22 33
107 2 17:23 17
108 2 17:32 22
109 3 17:33 26
110 2 17:33 32
111 4 17:39 34
112 3 17:48 20
113 5 17:50 38
114 2 17:50 20
115 2 17:52 33
116 2 17:54 25
117 3 17:54 25
118 5 17:56 47
119 1 18:01 32
120 2 18:01 16
121 3 18:04 26
122 1 18:08 35
123 1 18:09 32
124 5 18:13 50
125 3 18:14 36
126 2 18:15 30
127 4 18:19 27
128 5 18:21 46
129 3 18:24 24
130 2 18:24 30
131 2 18:31 28
132 4 18:33 37
133 1 18:34 16
134 1 18:34 33
135 5 18:37 30
136 3 18:38 24
137 3 18:40 32
138 4 18:41 42
139 4 18:44 26
140 3 18:45 29
141 1 18:46 35
142 3 18:46 23
143 4 18:48 34
144 2 18:48 28
145 1 18:52 27
146 5 18:53 34
147 3 18:55 34
148 1 18:56 29
149 6 18:57 38
150 2 18:57 24
151 6 19:04 42
152 1 19:07 34
153 5 19:08 37
154 3 19:13 24
155 2 19:15 29
156 2 19:19 21
157 5 19:22 35
158 4 19:24 35
159 1 19:25 22
160 6 19:26 47
161 2 19:28 29
162 2 19:30 35
163 2 19:31 15
164 3 19:33 40
165 2 19:35 19
166 1 19:35 16
167 2 19:39 32
168 2 19:47 29
169 5 19:51 50
170 3 19:56 40
171 2 19:58 19
172 2 20:01 22
173 4 20:04 29
174 4 20:05 28
175 4 20:22 41
176 2 20:26 18
177 1 20:28 34
178 2 20:54 17
179 2 21:10 33
180 2 21:39 27
