# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:01 44 0 - - - -
2 3 11:04 54 0 - - - -
3 1 11:08 54 0 - - - -
4 1 11:08 38 0 - - - -
5 2 11:09 36 0 - - - -
6 2 11:22 64 0 - - - -
7 2 11:24 54 0 - - - -
8 2 11:37 67 0 - - - -
9 2 11:40 62 0 - - - -
10 2 11:43 35 0 - - - -
11 2 12:04 67 0 - - - -
12 2 12:05 38 0 - - - -
13 4 12:10 47 0 - - - -
14 2 12:10 61 0 - - - -
15 1 12:11 54 0 - - - -
16 2 12:11 47 0 - - - -
17 3 12:13 63 0 - - - -
18 1 12:18 45 0 - - - -
19 2 12:20 64 0 - - - -
20 2 12:22 41 0 - - - -
21 1 12:32 62 0 - - - -
22 3 12:32 54 0 - - - -
23 2 12:43 47 0 - - - -
24 2 12:51 50 0 - - - -
25 2 12:52 60 0 - - - -
26 1 12:52 44 0 - - - -
27 2 12:53 45 0 - - - -
28 3 12:56 47 0 - - - -
29 2 12:58 50 0 - - - -
30 2 12:59 41 0 - - - -
31 2 13:02 53 0 - - - -
32 4 13:05 51 0 - - - -
33 2 13:08 55 0 - - - -
34 3 13:14 41 0 - - - -
35 4 13:16 64 0 - - - -
36 2 13:20 67 0 - - - -
37 4 13:21 49 0 - - - -
38 2 13:24 70 0 - - - -
39 2 13:26 58 0 - - - -
40 2 13:28 47 0 - - - -
41 1 13:29 51 0 - - - -
42 2 13:33 36 0 - - - -
43 2 13:37 66 0 - - - -
44 1 13:38 70 0 - - - -
45 2 13:38 59 0 - - - -
46 2 13:39 61 0 - - - -
47 4 13:40 52 0 - - - -
48 2 13:41 42 0 - - - -
49 2 13:45 36 0 - - - -
50 2 13:45 61 0 - - - -
51 1 13:49 49 0 - - - -
52 1 13:50 70 0 - - - -
53 2 13:50 69 0 - - - -
54 2 13:52 62 0 - - - -
55 4 13:52 48 0 - - - -
56 1 13:56 70 0 - - - -
57 2 14:02 45 0 - - - -
58 2 14:02 67 0 - - - -
59 3 14:03 54 0 - - - -
60 2 14:04 69 0 - - - -
61 2 14:05 70 0 - - - -
62 1 14:05 57 0 - - - -
63 2 14:09 56 0 - - - -
64 3 14:10 70 0 - - - -
65 2 14:10 55 0 - - - -
66 2 14:19 50 0 - - - -
67 1 14:20 51 0 - - - -
68 2 14:20 48 0 - - - -
69 1 14:21 39 0 - - - -
70 2 14:26 59 0 - - - -
71 1 14:41 63 0 - - - -
72 1 14:51 35 0 - - - -
73 2 14:53 56 0 - - - -
74 2 14:53 62 0 - - - -
75 2 14:55 57 0 - - - -
76 2 14:56 46 0 - - - -
77 1 15:55 50 0 - - - -
78 2 15:57 41 0 - - - -
79 3 16:01 55 0 - - - -
80 2 16:04 47 0 - - - -
81 2 16:07 61 0 - - - -
82 3 16:39 63 0 - - - -
83 2 17:03 49 0 - - - -
84 2 17:09 66 0 - - - -
85 1 17:11 48 0 - - - -
86 3 17:16 41 0 - - - -
87 4 17:16 65 0 - - - -
88 4 17:17 54 0 - - - -
89 3 17:17 52 0 - - - -
90 2 17:17 40 0 - - - -
91 3 17:18 68 0 - - - -
92 3 17:21 66 0 - - - -
93 2 17:27 58 0 - - - -
94 3 17:27 73 0 - - - -
95 2 17:30 43 0 - - - -
96 1 17:39 58 0 - - - -
97 2 17:46 44 0 - - - -
98 2 17:53 57 0 - - - -
99 2 17:56 48 0 - - - -
100 1 17:56 45 0 - - - -
101 2 17:57 54 0 - - - -
102 4 17:58 57 0 - - - -
103 2 17:59 58 0 - - - -
104 2 18:01 65 0 - - - -
105 2 18:02 53 0 - - - -
106 4 18:03 60 0 - - - -
107 2 18:07 47 0 - - - -
108 2 18:07 38 0 - - - -
109 1 18:08 49 0 - - - -
110 2 18:09 69 0 - - - -
111 1 18:12 54 0 - - - -
112 2 18:12 40 0 - - - -
113 4 18:16 65 0 - - - -
114 3 18:16 52 0 - - - -
115 3 18:16 41 0 - - - -
116 4 18:18 47 0 - - - -
117 1 18:20 60 0 - - - -
118 2 18:21 43 0 - - - -
119 3 18:22 44 0 - - - -
120 1 18:23 59 0 - - - -
121 3 18:23 61 0 - - - -
122 4 18:23 62 0 - - - -
123 2 18:24 49 0 - - - -
124 4 18:26 71 0 - - - -
125 2 18:27 50 0 - - - -
126 4 18:31 45 0 - - - -
127 2 18:35 67 0 - - - -
128 2 18:37 40 0 - - - -
129 2 18:46 52 0 - - - -
130 4 18:53 52 0 - - - -
131 3 18:55 71 0 - - - -
132 1 18:59 47 0 - - - -
133 3 19:01 53 0 - - - -
134 2 19:03 39 0 - - - -
135 2 19:03 68 0 - - - -
136 2 19:04 63 0 - - - -
137 1 19:05 37 0 - - - -
138 4 19:07 60 0 - - - -
139 2 19:07 49 0 - - - -
140 2 19:07 46 0 - - - -
141 2 19:12 40 0 - - - -
142 2 19:15 40 0 - - - -
143 2 19:17 37 0 - - - -
144 1 19:17 50 0 - - - -
145 2 19:25 45 0 - - - -
146 2 19:31 45 0 - - - -
147 4 19:37 73 0 - - - -
148 4 19:43 53 0 - - - -
149 4 19:44 48 0 - - - -
150 1 19:46 57 0 - - - -
151 2 19:50 60 0 - - - -
152 1 19:54 68 0 - - - -
153 1 19:58 53 0 - - - -
154 2 20:10 62 0 - - - -
155 2 20:19 60 0 - - - -
156 2 20:36 50 0 - - - -
157 1 20:47 49 0 - - - -
158 2 21:03 49 0 - - - -
159 2 21:16 53 0 - - - -
160 1 21:41 56 0 - - - -
