# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:01 44 0 - - - -
2 2 11:17 36 0 - - - -
3 2 11:35 54 0 - - - -
4 2 11:59 35 0 - - - -
5 3 12:25 43 0 - - - -
6 2 12:30 37 0 - - - -
7 2 12:35 50 0 - - - -
8 2 12:36 42 0 - - - -
9 2 12:37 52 0 - - - -
10 1 12:43 45 0 - - - -
11 2 12:50 41 0 - - - -
12 2 13:00 37 0 - - - -
13 1 13:03 35 0 - - - -
14 2 13:12 47 0 - - - -
15 2 13:20 50 0 - - - -
16 1 13:21 64 0 - - - -
17 2 13:22 45 0 - - - -
18 1 13:23 41 0 - - - -
19 2 13:24 61 0 - - - -
20 2 13:26 62 0 - - - -
21 2 13:27 41 0 - - - -
22 1 13:27 53 0 - - - -
23 2 13:30 40 0 - - - -
24 2 13:31 41 0 - - - -
25 1 13:42 58 0 - - - -
26 2 13:51 67 0 - - - -
27 4 13:52 49 0 - - - -
28 2 14:06 51 0 - - - -
29 2 14:09 67 0 - - - -
30 2 14:17 43 0 - - - -
31 2 14:26 59 0 - - - -
32 2 14:42 36 0 - - - -
33 2 14:46 45 0 - - - -
34 1 14:56 53 0 - - - -
35 4 15:23 76 0 - - - -
36 2 16:44 56 0 - - - -
37 2 16:44 62 0 - - - -
38 2 16:51 52 0 - - - -
39 2 16:57 55 0 - - - -
40 2 17:14 70 0 - - - -
41 1 17:23 55 0 - - - -
42 2 17:29 42 0 - - - -
43 2 17:42 41 0 - - - -
44 3 17:46 55 0 - - - -
45 2 17:49 47 0 - - - -
46 2 17:52 61 0 - - - -
47 3 18:24 63 0 - - - -
48 2 18:48 49 0 - - - -
49 2 18:54 66 0 - - - -
50 1 18:56 48 0 - - - -
51 3 19:02 41 0 - - - -
52 4 19:03 69 0 - - - -
53 4 19:04 54 0 - - - -
54 2 19:06 43 0 - - - -
55 2 19:20 64 0 - - - -
56 2 19:47 44 0 - - - -
57 2 19:59 66 0 - - - -
58 2 20:15 65 0 - - - -
59 1 20:29 60 0 - - - -
60 2 21:03 40 0 - - - -
61 1 21:26 69 0 - - - -
