# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:03 66 0 - - - -
2 2 11:05 66 0 - - - -
3 2 11:08 47 1 11:08 11:18 - 2
4 2 11:10 63 0 - - - -
5 3 11:22 64 0 - - - -
6 4 11:38 68 0 - - - -
7 3 11:43 75 1 11:43 11:53 - 4
8 2 11:50 46 0 - - - -
9 2 11:57 49 0 - - - -
10 3 12:00 70 0 - - - -
11 2 12:02 62 1 12:02 12:12 - 2
12 1 12:05 43 0 - - - -
13 1 12:06 60 0 - - - -
14 4 12:13 63 0 - - - -
15 2 12:18 37 1 12:18 12:28 - 2
16 2 12:25 54 0 - - - -
17 4 12:33 46 0 - - - -
18 2 12:38 49 0 - - - -
19 1 12:42 48 1 12:42 12:52 - 2
20 4 12:47 61 0 - - - -
21 1 12:47 56 0 - - - -
22 2 12:49 41 0 - - - -
23 1 12:54 68 1 12:54 13:04 - 2
24 2 12:57 36 0 - - - -
25 2 13:02 47 0 - - - -
26 2 13:02 49 0 - - - -
27 2 13:03 61 1 13:03 13:13 - 2
28 2 13:04 61 0 - - - -
29 5 13:06 72 0 - - - -
30 4 13:09 75 0 - - - -
31 2 13:12 52 1 13:12 13:22 - 2
32 2 13:13 40 0 - - - -
33 2 13:13 70 0 - - - -
34 2 13:16 48 0 - - - -
35 2 13:17 37 1 13:17 13:27 - 2
36 3 13:18 71 0 - - - -
37 2 13:21 63 0 - - - -
38 1 13:23 35 0 - - - -
39 4 13:23 61 1 13:23 13:33 - 4
40 3 13:23 50 0 - - - -
41 2 13:24 39 0 - - - -
42 3 13:26 42 0 - - - -
43 2 13:29 60 1 13:29 13:39 - 2
44 2 13:29 38 0 - - - -
45 2 13:30 38 0 - - - -
46 2 13:31 63 0 - - - -
47 4 13:32 52 1 13:32 13:42 - 4
48 2 13:32 66 0 - - - -
49 1 13:32 44 0 - - - -
50 2 13:33 59 0 - - - -
51 1 13:33 45 1 13:33 13:43 - 2
52 2 13:35 68 0 - - - -
53 1 13:42 67 0 - - - -
54 2 13:43 45 0 - - - -
55 2 13:43 54 1 13:43 13:53 - 2
56 2 13:45 50 0 - - - -
57 3 13:46 52 0 - - - -
58 4 13:49 58 0 - - - -
59 4 13:51 46 1 13:51 14:01 - 4
60 2 13:52 69 0 - - - -
61 4 13:53 60 0 - - - -
62 2 13:58 37 0 - - - -
63 1 13:58 54 1 13:58 14:08 - 2
64 4 13:58 45 0 - - - -
65 6 14:05 71 0 - - - -
66 1 14:19 45 0 - - - -
67 2 14:23 49 1 14:23 14:33 - 2
68 2 14:32 45 0 - - - -
69 4 14:37 61 0 - - - -
70 2 14:50 36 0 - - - -
71 2 15:04 63 1 15:04 15:14 - 2
72 4 15:05 69 0 - - - -
73 4 15:11 62 0 - - - -
74 6 15:16 64 0 - - - -
75 2 15:16 45 1 15:16 15:26 - 2
76 2 15:23 68 0 - - - -
77 1 15:46 35 0 - - - -
78 1 16:00 43 0 - - - -
79 2 16:07 55 1 16:07 16:17 - 2
80 3 16:18 68 0 - - - -
81 4 16:53 70 0 - - - -
82 1 16:53 36 0 - - - -
83 1 16:55 67 1 16:55 17:05 - 2
84 5 16:58 50 0 - - - -
85 4 17:14 66 0 - - - -
86 4 17:14 45 0 - - - -
87 2 17:32 65 1 17:32 17:42 - 2
88 2 17:42 62 0 - - - -
89 2 17:44 56 0 - - - -
90 2 17:50 58 0 - - - -
91 2 17:54 65 1 17:54 18:04 - 2
92 2 17:54 39 0 - - - -
93 2 17:55 69 0 - - - -
94 2 18:00 55 0 - - - -
95 3 18:01 63 1 18:01 18:11 - 4
96 2 18:05 40 0 - - - -
97 2 18:05 47 0 - - - -
98 2 18:06 46 0 - - - -
99 6 18:12 83 1 18:12 18:22 - 6
100 2 18:13 52 0 - - - -
101 4 18:13 65 0 - - - -
102 2 18:14 60 0 - - - -
103 2 18:14 53 1 18:14 18:24 - 2
104 2 18:21 42 0 - - - -
105 1 18:22 51 0 - - - -
106 6 18:22 84 0 - - - -
107 2 18:24 44 1 18:24 18:34 - 2
108 1 18:25 54 0 - - - -
109 2 18:26 40 0 - - - -
110 1 18:27 46 0 - - - -
111 2 18:37 43 1 18:37 18:47 - 2
112 1 18:40 50 0 - - - -
113 1 18:41 56 0 - - - -
114 3 18:51 66 0 - - - -
115 3 18:57 52 1 18:57 19:07 - 4
116 3 18:59 60 0 - - - -
117 3 19:01 57 0 - - - -
118 2 19:06 59 0 - - - -
119 2 19:07 50 1 19:07 19:17 - 2
120 2 19:11 55 0 - - - -
121 3 19:13 41 0 - - - -
122 4 19:15 80 0 - - - -
123 3 19:17 73 1 19:17 19:27 - 4
124 1 19:19 61 0 - - - -
125 2 19:28 39 0 - - - -
126 2 19:40 42 0 - - - -
127 5 19:41 82 1 19:41 19:51 - 6
128 2 19:47 65 0 - - - -
129 2 19:50 65 0 - - - -
130 3 19:51 49 0 - - - -
131 2 20:22 36 1 20:22 20:32 - 2
132 2 20:37 57 0 - - - -
133 1 20:47 58 0 - - - -
134 2 20:59 41 0 - - - -
135 1 21:06 42 1 21:06 21:16 - 2
