# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 3 11:03 66 0 - - - -
2 4 11:05 66 0 - - - -
3 4 11:08 47 0 - - - -
4 4 11:10 63 0 - - - -
5 4 11:22 64 0 - - - -
6 5 11:38 68 0 - - - -
7 4 11:43 75 0 - - - -
8 4 11:50 46 0 - - - -
9 4 11:57 49 0 - - - -
10 4 12:00 70 0 - - - -
11 4 12:02 62 0 - - - -
12 3 12:05 43 0 - - - -
13 3 12:06 60 0 - - - -
14 5 12:13 63 0 - - - -
15 4 12:18 37 0 - - - -
16 4 12:25 54 0 - - - -
17 5 12:33 46 0 - - - -
18 4 12:38 49 0 - - - -
19 3 12:42 48 0 - - - -
20 5 12:47 61 0 - - - -
21 3 12:47 56 0 - - - -
22 4 12:49 41 0 - - - -
23 3 12:54 68 0 - - - -
24 4 12:57 36 0 - - - -
25 4 13:02 47 0 - - - -
26 4 13:02 49 0 - - - -
27 4 13:03 61 0 - - - -
28 4 13:04 61 0 - - - -
29 6 13:06 72 0 - - - -
30 5 13:09 75 0 - - - -
31 4 13:12 52 0 - - - -
32 4 13:13 40 0 - - - -
33 4 13:13 70 0 - - - -
34 4 13:16 48 0 - - - -
35 4 13:17 37 0 - - - -
36 4 13:18 71 0 - - - -
37 4 13:21 63 0 - - - -
38 3 13:23 35 0 - - - -
39 5 13:23 61 0 - - - -
40 4 13:23 50 0 - - - -
41 4 13:24 39 0 - - - -
42 4 13:26 42 0 - - - -
43 4 13:29 60 0 - - - -
44 4 13:29 38 0 - - - -
45 4 13:30 38 0 - - - -
46 4 13:31 63 0 - - - -
47 5 13:32 52 0 - - - -
48 4 13:32 66 0 - - - -
49 3 13:32 44 0 - - - -
50 4 13:33 59 0 - - - -
51 3 13:33 45 0 - - - -
52 4 13:35 68 0 - - - -
53 3 13:42 67 0 - - - -
54 4 13:43 45 0 - - - -
55 4 13:43 54 0 - - - -
56 4 13:45 50 0 - - - -
57 4 13:46 52 0 - - - -
58 5 13:49 58 0 - - - -
59 5 13:51 46 0 - - - -
60 4 13:52 69 0 - - - -
61 5 13:53 60 0 - - - -
62 4 13:58 37 0 - - - -
63 3 13:58 54 0 - - - -
64 5 13:58 45 0 - - - -
65 6 14:05 71 0 - - - -
66 3 14:19 45 0 - - - -
67 4 14:23 49 0 - - - -
68 4 14:32 45 0 - - - -
69 5 14:37 61 0 - - - -
70 4 14:50 36 0 - - - -
71 4 15:04 63 0 - - - -
72 5 15:05 69 0 - - - -
73 5 15:11 62 0 - - - -
74 6 15:16 64 0 - - - -
75 4 15:16 45 0 - - - -
76 4 15:23 68 0 - - - -
77 3 15:46 35 0 - - - -
78 3 16:00 43 0 - - - -
79 4 16:07 55 0 - - - -
80 4 16:18 68 0 - - - -
81 5 16:53 70 0 - - - -
82 3 16:53 36 0 - - - -
83 3 16:55 67 0 - - - -
84 6 16:58 50 0 - - - -
85 5 17:14 66 0 - - - -
86 5 17:14 45 0 - - - -
87 4 17:32 65 0 - - - -
88 4 17:42 62 0 - - - -
89 4 17:44 56 0 - - - -
90 4 17:50 58 0 - - - -
91 4 17:54 65 0 - - - -
92 4 17:54 39 0 - - - -
93 4 17:55 69 0 - - - -
94 4 18:00 55 0 - - - -
95 4 18:01 63 0 - - - -
96 4 18:05 40 0 - - - -
97 4 18:05 47 0 - - - -
98 4 18:06 46 0 - - - -
99 6 18:12 83 0 - - - -
100 4 18:13 52 0 - - - -
101 5 18:13 65 0 - - - -
102 4 18:14 60 0 - - - -
103 4 18:14 53 0 - - - -
104 4 18:21 42 0 - - - -
105 3 18:22 51 0 - - - -
106 6 18:22 84 0 - - - -
107 4 18:24 44 0 - - - -
108 3 18:25 54 0 - - - -
109 4 18:26 40 0 - - - -
110 3 18:27 46 0 - - - -
111 4 18:37 43 0 - - - -
112 3 18:40 50 0 - - - -
113 3 18:41 56 0 - - - -
114 4 18:51 66 0 - - - -
115 4 18:57 52 0 - - - -
116 4 18:59 60 0 - - - -
117 4 19:01 57 0 - - - -
118 4 19:06 59 0 - - - -
119 4 19:07 50 0 - - - -
120 4 19:11 55 0 - - - -
121 4 19:13 41 0 - - - -
122 5 19:15 80 0 - - - -
123 4 19:17 73 0 - - - -
124 3 19:19 61 0 - - - -
125 4 19:28 39 0 - - - -
126 4 19:40 42 0 - - - -
127 6 19:41 82 0 - - - -
128 4 19:47 65 0 - - - -
129 4 19:50 65 0 - - - -
130 4 19:51 49 0 - - - -
131 4 20:22 36 0 - - - -
132 4 20:37 57 0 - - - -
133 3 20:47 58 0 - - - -
134 4 20:59 41 0 - - - -
135 3 21:06 42 0 - - - -
