# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:03 66 0 - - - -
2 1 11:05 66 0 - - - -
3 1 11:08 47 0 - - - -
4 1 11:10 63 0 - - - -
5 2 11:22 64 0 - - - -
6 2 11:38 68 0 - - - -
7 2 11:43 75 0 - - - -
8 1 11:50 46 0 - - - -
9 1 11:57 49 0 - - - -
10 2 12:00 70 0 - - - -
11 1 12:02 62 0 - - - -
12 1 12:05 43 0 - - - -
13 1 12:06 60 0 - - - -
14 2 12:13 63 0 - - - -
15 1 12:18 37 0 - - - -
16 1 12:25 54 0 - - - -
17 2 12:33 46 0 - - - -
18 1 12:38 49 0 - - - -
19 1 12:42 48 0 - - - -
20 2 12:47 61 0 - - - -
21 1 12:47 56 0 - - - -
22 1 12:49 41 0 - - - -
23 1 12:54 68 0 - - - -
24 1 12:57 36 0 - - - -
25 1 13:02 47 0 - - - -
26 1 13:02 49 0 - - - -
27 1 13:03 61 0 - - - -
28 1 13:04 61 0 - - - -
29 2 13:06 72 0 - - - -
30 2 13:09 75 0 - - - -
31 1 13:12 52 0 - - - -
32 1 13:13 40 0 - - - -
33 1 13:13 70 0 - - - -
34 1 13:16 48 0 - - - -
35 1 13:17 37 0 - - - -
36 2 13:18 71 0 - - - -
37 1 13:21 63 0 - - - -
38 1 13:23 35 0 - - - -
39 2 13:23 61 0 - - - -
40 2 13:23 50 0 - - - -
41 1 13:24 39 0 - - - -
42 2 13:26 42 0 - - - -
43 1 13:29 60 0 - - - -
44 1 13:29 38 0 - - - -
45 1 13:30 38 0 - - - -
46 1 13:31 63 0 - - - -
47 2 13:32 52 0 - - - -
48 1 13:32 66 0 - - - -
49 1 13:32 44 0 - - - -
50 1 13:33 59 0 - - - -
51 1 13:33 45 0 - - - -
52 1 13:35 68 0 - - - -
53 1 13:42 67 0 - - - -
54 1 13:43 45 0 - - - -
55 1 13:43 54 0 - - - -
56 1 13:45 50 0 - - - -
57 2 13:46 52 0 - - - -
58 2 13:49 58 0 - - - -
59 2 13:51 46 0 - - - -
60 1 13:52 69 0 - - - -
61 2 13:53 60 0 - - - -
62 1 13:58 37 0 - - - -
63 1 13:58 54 0 - - - -
64 2 13:58 45 0 - - - -
65 3 14:05 71 0 - - - -
66 1 14:19 45 0 - - - -
67 1 14:23 49 0 - - - -
68 1 14:32 45 0 - - - -
69 2 14:37 61 0 - - - -
70 1 14:50 36 0 - - - -
71 1 15:04 63 0 - - - -
72 2 15:05 69 0 - - - -
73 2 15:11 62 0 - - - -
74 3 15:16 64 0 - - - -
75 1 15:16 45 0 - - - -
76 1 15:23 68 0 - - - -
77 1 15:46 35 0 - - - -
78 1 16:00 43 0 - - - -
79 1 16:07 55 0 - - - -
80 2 16:18 68 0 - - - -
81 2 16:53 70 0 - - - -
82 1 16:53 36 0 - - - -
83 1 16:55 67 0 - - - -
84 2 16:58 50 0 - - - -
85 2 17:14 66 0 - - - -
86 2 17:14 45 0 - - - -
87 1 17:32 65 0 - - - -
88 1 17:42 62 0 - - - -
89 1 17:44 56 0 - - - -
90 1 17:50 58 0 - - - -
91 1 17:54 65 0 - - - -
92 1 17:54 39 0 - - - -
93 1 17:55 69 0 - - - -
94 1 18:00 55 0 - - - -
95 2 18:01 63 0 - - - -
96 1 18:05 40 0 - - - -
97 1 18:05 47 0 - - - -
98 1 18:06 46 0 - - - -
99 3 18:12 83 0 - - - -
100 1 18:13 52 0 - - - -
101 2 18:13 65 0 - - - -
102 1 18:14 60 0 - - - -
103 1 18:14 53 0 - - - -
104 1 18:21 42 0 - - - -
105 1 18:22 51 0 - - - -
106 3 18:22 84 0 - - - -
107 1 18:24 44 0 - - - -
108 1 18:25 54 0 - - - -
109 1 18:26 40 0 - - - -
110 1 18:27 46 0 - - - -
111 1 18:37 43 0 - - - -
112 1 18:40 50 0 - - - -
113 1 18:41 56 0 - - - -
114 2 18:51 66 0 - - - -
115 2 18:57 52 0 - - - -
116 2 18:59 60 0 - - - -
117 2 19:01 57 0 - - - -
118 1 19:06 59 0 - - - -
119 1 19:07 50 0 - - - -
120 1 19:11 55 0 - - - -
121 2 19:13 41 0 - - - -
122 2 19:15 80 0 - - - -
123 2 19:17 73 0 - - - -
124 1 19:19 61 0 - - - -
125 1 19:28 39 0 - - - -
126 1 19:40 42 0 - - - -
127 2 19:41 82 0 - - - -
128 1 19:47 65 0 - - - -
129 1 19:50 65 0 - - - -
130 2 19:51 49 0 - - - -
131 1 20:22 36 0 - - - -
132 1 20:37 57 0 - - - -
133 1 20:47 58 0 - - - -
134 1 20:59 41 0 - - - -
135 1 21:06 42 0 - - - -
