# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:03 43 0 - - - -
2 2 11:05 43 0 - - - -
3 2 11:08 31 0 - - - -
4 2 11:10 41 0 - - - -
5 3 11:22 42 0 - - - -
6 4 11:38 44 0 - - - -
7 3 11:43 49 0 - - - -
8 2 11:50 30 0 - - - -
9 2 11:57 32 0 - - - -
10 3 12:00 46 0 - - - -
11 2 12:02 40 0 - - - -
12 1 12:05 28 0 - - - -
13 1 12:06 39 0 - - - -
14 4 12:13 41 0 - - - -
15 2 12:18 24 0 - - - -
16 2 12:25 35 0 - - - -
17 4 12:33 30 0 - - - -
18 2 12:38 32 0 - - - -
19 1 12:42 31 0 - - - -
20 4 12:47 40 0 - - - -
21 1 12:47 36 0 - - - -
22 2 12:49 27 0 - - - -
23 1 12:54 44 0 - - - -
24 2 12:57 23 0 - - - -
25 2 13:02 31 0 - - - -
26 2 13:02 32 0 - - - -
27 2 13:03 40 0 - - - -
28 2 13:04 40 0 - - - -
29 5 13:06 47 0 - - - -
30 4 13:09 49 0 - - - -
31 2 13:12 34 0 - - - -
32 2 13:13 26 0 - - - -
33 2 13:13 46 0 - - - -
34 2 13:16 31 0 - - - -
35 2 13:17 24 0 - - - -
36 3 13:18 46 0 - - - -
37 2 13:21 41 0 - - - -
38 1 13:23 23 0 - - - -
39 4 13:23 40 0 - - - -
40 3 13:23 32 0 - - - -
41 2 13:24 25 0 - - - -
42 3 13:26 27 0 - - - -
43 2 13:29 39 0 - - - -
44 2 13:29 25 0 - - - -
45 2 13:30 25 0 - - - -
46 2 13:31 41 0 - - - -
47 4 13:32 34 0 - - - -
48 2 13:32 43 0 - - - -
49 1 13:32 29 0 - - - -
50 2 13:33 38 0 - - - -
51 1 13:33 29 0 - - - -
52 2 13:35 44 0 - - - -
53 1 13:42 44 0 - - - -
54 2 13:43 29 0 - - - -
55 2 13:43 35 0 - - - -
56 2 13:45 32 0 - - - -
57 3 13:46 34 0 - - - -
58 4 13:49 38 0 - - - -
59 4 13:51 30 0 - - - -
60 2 13:52 45 0 - - - -
61 4 13:53 39 0 - - - -
62 2 13:58 24 0 - - - -
63 1 13:58 35 0 - - - -
64 4 13:58 29 0 - - - -
65 6 14:05 46 0 - - - -
66 1 14:19 29 0 - - - -
67 2 14:23 32 0 - - - -
68 2 14:32 29 0 - - - -
69 4 14:37 40 0 - - - -
70 2 14:50 23 0 - - - -
71 2 15:04 41 0 - - - -
72 4 15:05 45 0 - - - -
73 4 15:11 40 0 - - - -
74 6 15:16 42 0 - - - -
75 2 15:16 29 0 - - - -
76 2 15:23 44 0 - - - -
77 1 15:46 23 0 - - - -
78 1 16:00 28 0 - - - -
79 2 16:07 36 0 - - - -
80 3 16:18 44 0 - - - -
81 4 16:53 46 0 - - - -
82 1 16:53 23 0 - - - -
83 1 16:55 44 0 - - - -
84 5 16:58 32 0 - - - -
85 4 17:14 43 0 - - - -
86 4 17:14 29 0 - - - -
87 2 17:32 42 0 - - - -
88 2 17:42 40 0 - - - -
89 2 17:44 36 0 - - - -
90 2 17:50 38 0 - - - -
91 2 17:54 42 0 - - - -
92 2 17:54 25 0 - - - -
93 2 17:55 45 0 - - - -
94 2 18:00 36 0 - - - -
95 3 18:01 41 0 - - - -
96 2 18:05 26 0 - - - -
97 2 18:05 31 0 - - - -
98 2 18:06 30 0 - - - -
99 6 18:12 54 0 - - - -
100 2 18:13 34 0 - - - -
101 4 18:13 42 0 - - - -
102 2 18:14 39 0 - - - -
103 2 18:14 34 0 - - - -
104 2 18:21 27 0 - - - -
105 1 18:22 33 0 - - - -
106 6 18:22 55 0 - - - -
107 2 18:24 29 0 - - - -
108 1 18:25 35 0 - - - -
109 2 18:26 26 0 - - - -
110 1 18:27 30 0 - - - -
111 2 18:37 28 0 - - - -
112 1 18:40 32 0 - - - -
113 1 18:41 36 0 - - - -
114 3 18:51 43 0 - - - -
115 3 18:57 34 0 - - - -
116 3 18:59 39 0 - - - -
117 3 19:01 37 0 - - - -
118 2 19:06 38 0 - - - -
119 2 19:07 32 0 - - - -
120 2 19:11 36 0 - - - -
121 3 19:13 27 0 - - - -
122 4 19:15 52 0 - - - -
123 3 19:17 47 0 - - - -
124 1 19:19 40 0 - - - -
125 2 19:28 25 0 - - - -
126 2 19:40 27 0 - - - -
127 5 19:41 53 0 - - - -
128 2 19:47 42 0 - - - -
129 2 19:50 42 0 - - - -
130 3 19:51 32 0 - - - -
131 2 20:22 23 0 - - - -
132 2 20:37 37 0 - - - -
133 1 20:47 38 0 - - - -
134 2 20:59 27 0 - - - -
135 1 21:06 27 0 - - - -
