# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:03 96 0 - - - -
2 2 11:05 96 0 - - - -
3 2 11:08 68 0 - - - -
4 2 11:10 91 0 - - - -
5 3 11:22 93 0 - - - -
6 4 11:38 99 0 - - - -
7 3 11:43 109 0 - - - -
8 2 11:50 67 0 - - - -
9 2 11:57 71 0 - - - -
10 3 12:00 102 0 - - - -
11 2 12:02 90 0 - - - -
12 1 12:05 62 0 - - - -
13 1 12:06 87 0 - - - -
14 4 12:13 91 0 - - - -
15 2 12:18 54 0 - - - -
16 2 12:25 78 0 - - - -
17 4 12:33 67 0 - - - -
18 2 12:38 71 0 - - - -
19 1 12:42 70 0 - - - -
20 4 12:47 88 0 - - - -
21 1 12:47 81 0 - - - -
22 2 12:49 59 0 - - - -
23 1 12:54 99 0 - - - -
24 2 12:57 52 0 - - - -
25 2 13:02 68 0 - - - -
26 2 13:02 71 0 - - - -
27 2 13:03 88 0 - - - -
28 2 13:04 88 0 - - - -
29 5 13:06 104 0 - - - -
30 4 13:09 109 0 - - - -
31 2 13:12 75 0 - - - -
32 2 13:13 58 0 - - - -
33 2 13:13 102 0 - - - -
34 2 13:16 70 0 - - - -
35 2 13:17 54 0 - - - -
36 3 13:18 103 0 - - - -
37 2 13:21 91 0 - - - -
38 1 13:23 51 0 - - - -
39 4 13:23 88 0 - - - -
40 3 13:23 72 0 - - - -
41 2 13:24 57 0 - - - -
42 3 13:26 61 0 - - - -
43 2 13:29 87 0 - - - -
44 2 13:29 55 0 - - - -
45 2 13:30 55 0 - - - -
46 2 13:31 91 0 - - - -
47 4 13:32 75 0 - - - -
48 2 13:32 96 0 - - - -
49 1 13:32 64 0 - - - -
50 2 13:33 86 0 - - - -
51 1 13:33 65 0 - - - -
52 2 13:35 99 0 - - - -
53 1 13:42 97 0 - - - -
54 2 13:43 65 0 - - - -
55 2 13:43 78 0 - - - -
56 2 13:45 72 0 - - - -
57 3 13:46 75 0 - - - -
58 4 13:49 84 0 - - - -
59 4 13:51 67 0 - - - -
60 2 13:52 100 0 - - - -
61 4 13:53 87 0 - - - -
62 2 13:58 54 0 - - - -
63 1 13:58 78 0 - - - -
64 4 13:58 65 0 - - - -
65 6 14:05 103 0 - - - -
66 1 14:19 65 0 - - - -
67 2 14:23 71 0 - - - -
68 2 14:32 65 0 - - - -
69 4 14:37 88 0 - - - -
70 2 14:50 52 0 - - - -
71 2 15:04 91 0 - - - -
72 4 15:05 100 0 - - - -
73 4 15:11 90 0 - - - -
74 6 15:16 93 0 - - - -
75 2 15:16 65 0 - - - -
76 2 15:23 99 0 - - - -
77 1 15:46 51 0 - - - -
78 1 16:00 62 0 - - - -
79 2 16:07 80 0 - - - -
80 3 16:18 99 0 - - - -
81 4 16:53 102 0 - - - -
82 1 16:53 52 0 - - - -
83 1 16:55 97 0 - - - -
84 5 16:58 72 0 - - - -
85 4 17:14 96 0 - - - -
86 4 17:14 65 0 - - - -
87 2 17:32 94 0 - - - -
88 2 17:42 90 0 - - - -
89 2 17:44 81 0 - - - -
90 2 17:50 84 0 - - - -
91 2 17:54 94 0 - - - -
92 2 17:54 57 0 - - - -
93 2 17:55 100 0 - - - -
94 2 18:00 80 0 - - - -
95 3 18:01 91 0 - - - -
96 2 18:05 58 0 - - - -
97 2 18:05 68 0 - - - -
98 2 18:06 67 0 - - - -
99 6 18:12 120 0 - - - -
100 2 18:13 75 0 - - - -
101 4 18:13 94 0 - - - -
102 2 18:14 87 0 - - - -
103 2 18:14 77 0 - - - -
104 2 18:21 61 0 - - - -
105 1 18:22 74 0 - - - -
106 6 18:22 122 0 - - - -
107 2 18:24 64 0 - - - -
108 1 18:25 78 0 - - - -
109 2 18:26 58 0 - - - -
110 1 18:27 67 0 - - - -
111 2 18:37 62 0 - - - -
112 1 18:40 72 0 - - - -
113 1 18:41 81 0 - - - -
114 3 18:51 96 0 - - - -
115 3 18:57 75 0 - - - -
116 3 18:59 87 0 - - - -
117 3 19:01 83 0 - - - -
118 2 19:06 86 0 - - - -
119 2 19:07 72 0 - - - -
120 2 19:11 80 0 - - - -
121 3 19:13 59 0 - - - -
122 4 19:15 116 0 - - - -
123 3 19:17 106 0 - - - -
124 1 19:19 88 0 - - - -
125 2 19:28 57 0 - - - -
126 2 19:40 61 0 - - - -
127 5 19:41 119 0 - - - -
128 2 19:47 94 0 - - - -
129 2 19:50 94 0 - - - -
130 3 19:51 71 0 - - - -
131 2 20:22 52 0 - - - -
132 2 20:37 83 0 - - - -
133 1 20:47 84 0 - - - -
134 2 20:59 59 0 - - - -
135 1 21:06 61 0 - - - -
