# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 12:00 66 0 - - - -
2 2 12:01 66 0 - - - -
3 2 12:03 47 0 - - - -
4 2 12:04 63 0 - - - -
5 3 12:05 64 0 - - - -
6 4 12:07 68 0 - - - -
7 3 12:08 75 0 - - - -
8 2 12:10 46 0 - - - -
9 2 12:11 49 0 - - - -
10 3 12:12 70 0 - - - -
11 2 12:14 62 0 - - - -
12 1 12:15 43 0 - - - -
13 1 12:16 60 0 - - - -
14 4 12:18 63 0 - - - -
15 2 12:19 37 0 - - - -
16 2 12:20 54 0 - - - -
17 4 12:22 46 0 - - - -
18 2 12:23 49 0 - - - -
19 1 12:25 48 0 - - - -
20 4 12:26 61 0 - - - -
21 1 12:27 56 0 - - - -
22 2 12:29 41 0 - - - -
23 1 12:30 68 0 - - - -
24 2 12:31 36 0 - - - -
25 2 12:33 47 0 - - - -
26 2 12:34 49 0 - - - -
27 2 12:35 61 0 - - - -
28 2 12:37 61 0 - - - -
29 5 12:38 72 0 - - - -
30 4 12:40 75 0 - - - -
31 2 12:41 52 0 - - - -
32 2 12:42 40 0 - - - -
33 2 12:44 70 0 - - - -
34 2 12:45 48 0 - - - -
35 2 12:46 37 0 - - - -
36 3 12:48 71 0 - - - -
37 2 12:49 63 0 - - - -
38 1 12:50 35 0 - - - -
39 4 12:52 61 0 - - - -
40 3 12:53 50 0 - - - -
41 2 12:55 39 0 - - - -
42 3 12:56 42 0 - - - -
43 2 12:57 60 0 - - - -
44 2 12:59 38 0 - - - -
45 2 13:00 38 0 - - - -
46 2 13:01 63 0 - - - -
47 4 13:03 52 0 - - - -
48 2 13:04 66 0 - - - -
49 1 13:05 44 0 - - - -
50 2 13:07 59 0 - - - -
51 1 13:08 45 0 - - - -
52 2 13:10 68 0 - - - -
53 1 13:11 67 0 - - - -
54 2 13:12 45 0 - - - -
55 2 13:14 54 0 - - - -
56 2 13:15 50 0 - - - -
57 3 13:16 52 0 - - - -
58 4 13:18 58 0 - - - -
59 4 13:19 46 0 - - - -
60 2 13:20 69 0 - - - -
61 4 13:22 60 0 - - - -
62 2 13:23 37 0 - - - -
63 1 13:25 54 0 - - - -
64 4 13:26 45 0 - - - -
65 6 13:27 71 0 - - - -
66 1 13:29 45 0 - - - -
67 2 13:30 49 0 - - - -
68 2 18:00 45 0 - - - -
69 4 18:01 61 0 - - - -
70 2 18:03 36 0 - - - -
71 2 18:04 63 0 - - - -
72 4 18:05 69 0 - - - -
73 4 18:07 62 0 - - - -
74 6 18:08 64 0 - - - -
75 2 18:09 45 0 - - - -
76 2 18:11 68 0 - - - -
77 1 18:12 35 0 - - - -
78 1 18:13 43 0 - - - -
79 2 18:15 55 0 - - - -
80 3 18:16 68 0 - - - -
81 4 18:17 70 0 - - - -
82 1 18:19 36 0 - - - -
83 1 18:20 67 0 - - - -
84 5 18:21 50 0 - - - -
85 4 18:23 66 0 - - - -
86 4 18:24 45 0 - - - -
87 2 18:26 65 0 - - - -
88 2 18:27 62 0 - - - -
89 2 18:28 56 0 - - - -
90 2 18:30 58 0 - - - -
91 2 18:31 65 0 - - - -
92 2 18:32 39 0 - - - -
93 2 18:34 69 0 - - - -
94 2 18:35 55 0 - - - -
95 3 18:36 63 0 - - - -
96 2 18:38 40 0 - - - -
97 2 18:39 47 0 - - - -
98 2 18:40 46 0 - - - -
99 6 18:42 83 0 - - - -
100 2 18:43 52 0 - - - -
101 4 18:44 65 0 - - - -
102 2 18:46 60 0 - - - -
103 2 18:47 53 0 - - - -
104 2 18:48 42 0 - - - -
105 1 18:50 51 0 - - - -
106 6 18:51 84 0 - - - -
107 2 18:52 44 0 - - - -
108 1 18:54 54 0 - - - -
109 2 18:55 40 0 - - - -
110 1 18:56 46 0 - - - -
111 2 18:58 43 0 - - - -
112 1 18:59 50 0 - - - -
113 1 19:00 56 0 - - - -
114 3 19:02 66 0 - - - -
115 3 19:03 52 0 - - - -
116 3 19:04 60 0 - - - -
117 3 19:06 57 0 - - - -
118 2 19:07 59 0 - - - -
119 2 19:09 50 0 - - - -
120 2 19:10 55 0 - - - -
121 3 19:11 41 0 - - - -
122 4 19:13 80 0 - - - -
123 3 19:14 73 0 - - - -
124 1 19:15 61 0 - - - -
125 2 19:17 39 0 - - - -
126 2 19:18 42 0 - - - -
127 5 19:19 82 0 - - - -
128 2 19:21 65 0 - - - -
129 2 19:22 65 0 - - - -
130 3 19:23 49 0 - - - -
131 2 19:25 36 0 - - - -
132 2 19:26 57 0 - - - -
133 1 19:27 58 0 - - - -
134 2 19:29 41 0 - - - -
135 1 19:30 42 0 - - - -
