# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 2 11:14 62 0 - - - -
2 2 11:29 58 1 11:34 11:44 - 2
3 3 11:31 43 0 - - - -
4 2 11:32 52 0 - - - -
5 3 11:37 59 0 - - - -
6 2 11:40 38 0 - - - -
7 3 11:59 58 0 - - - -
8 3 12:34 55 0 - - - -
9 2 12:35 37 0 - - - -
10 2 12:37 53 0 - - - -
11 2 12:48 40 0 - - - -
12 1 12:48 55 0 - - - -
13 1 12:51 41 0 - - - -
14 1 12:55 65 0 - - - -
15 1 13:00 69 0 - - - -
16 2 13:04 46 0 - - - -
17 2 13:06 40 0 - - - -
18 2 13:06 70 0 - - - -
19 2 13:10 38 0 - - - -
20 2 13:10 36 0 - - - -
21 1 13:15 42 0 - - - -
22 2 13:22 49 0 - - - -
23 3 13:30 55 0 - - - -
24 2 13:35 49 0 - - - -
25 1 13:37 52 0 - - - -
26 1 13:44 50 0 - - - -
27 3 13:53 67 0 - - - -
28 3 14:00 45 0 - - - -
29 1 14:10 60 0 - - - -
30 1 14:16 64 0 - - - -
31 1 14:52 63 0 - - - -
32 1 15:03 68 0 - - - -
33 2 15:33 43 0 - - - -
34 1 15:51 65 0 - - - -
35 2 15:54 64 0 - - - -
36 1 15:56 70 0 - - - -
37 2 16:02 67 0 - - - -
38 1 16:06 62 0 - - - -
39 2 16:25 40 0 - - - -
40 3 16:27 70 0 - - - -
41 2 16:28 39 0 - - - -
42 2 16:28 36 0 - - - -
43 4 16:32 59 0 - - - -
44 2 16:40 50 0 - - - -
45 2 16:42 45 0 - - - -
46 2 16:48 58 0 - - - -
47 2 16:50 51 0 - - - -
48 1 16:58 48 0 - - - -
49 2 17:06 35 0 - - - -
50 2 17:09 43 0 - - - -
51 4 17:10 51 0 - - - -
52 2 17:18 41 0 - - - -
53 2 17:20 66 0 - - - -
54 2 17:27 39 0 - - - -
55 2 17:29 48 0 - - - -
56 1 17:36 36 0 - - - -
57 1 17:37 65 0 - - - -
58 3 17:41 59 0 - - - -
59 3 17:43 58 0 - - - -
60 2 17:57 50 0 - - - -
61 1 17:57 45 0 - - - -
62 4 18:33 79 0 - - - -
63 4 18:34 52 0 - - - -
64 2 19:19 49 0 - - - -
65 2 19:57 67 0 - - - -
